사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Dec-19,3호선,328,잠원,5,2,1453,745,5944,4955,16297,8075,28085,11468,18135,8623,12748,6716,12743,7297,12163,8746,11740,10008,10525,9873,11133,11126,12863,12301,14785,15292,14562,20402,8018,15588,5318,10995,5095,11714,3816,12380,1349,7597,192,2497,12,45,0,3,0,0
Dec-19,3호선,329,고속터미널,211,3,7127,4550,8084,36920,26734,54793,53318,92102,65090,113777,74111,115123,92927,143458,111958,133736,126859,137410,141942,145414,158691,155200,175612,154472,196560,160051,184731,169987,165153,114292,175385,70107,124401,55370,79256,40467,28982,22694,3469,3911,40,111,0,12,0,0
Dec-19,3호선,330,교대(법원.검찰청),27,1,1258,597,3278,5745,8047,14593,13475,49453,11684,38535,12865,19784,17468,14859,19005,13646,25076,14182,29494,13194,30066,12541,32415,13446,45870,18708,69778,25322,33308,14298,29574,6723,32164,5351,28532,4956,13865,3583,2342,1311,30,29,1,3,0,0
Dec-19,3호선,331,남부터미널(예술의전당),53,0,3078,1218,8482,27033,28263,55795,48855,162866,45917,91534,48459,58526,54603,50992,56903,53227,59777,61426,59443,62494,65318,64448,76225,69148,106953,80380,151564,87661,77919,62548,61316,35298,57939,29207,44983,23808,18180,14268,2545,4147,29,106,0,4,0,0
Dec-19,3호선,332,양재(서초구청),107,1,6153,2891,13976,38244,35829,100517,51903,260317,39512,145002,38068,74456,43633,69354,50441,60535,62683,65351,68246,59415,76024,57825,88573,63087,131099,85451,215579,106114,107276,68487,80053,40246,84333,35875,65130,32836,27049,20245,3214,6268,51,300,0,56,0,0
Dec-19,3호선,333,매봉,9,1,1534,542,6400,10504,15386,19872,21563,71202,15702,36011,13675,15969,14408,16462,14893,14844,16622,13585,19831,13667,20971,13989,23610,15520,34798,20605,63397,25363,24796,17943,16963,10680,18706,9758,13081,10157,4898,6776,553,2162,4,120,0,6,0,0
Dec-19,3호선,334,도곡,40,0,1055,270,3782,3788,9195,11630,14002,23426,9659,20314,7664,9770,8589,11119,9168,9224,10421,9243,11218,8745,11513,8702,13924,9252,19160,11875,21187,13250,11696,10566,7912,6663,7964,6397,5464,6471,1856,4238,233,2501,9,550,0,77,0,0
Dec-19,3호선,335,대치,10,0,2667,872,11562,7653,25924,12007,31351,25036,19422,19881,16105,15973,16658,14966,17788,18059,19092,21745,18672,21160,21171,23138,23535,26408,30679,31144,30255,31998,23010,25971,14984,15639,15197,16052,24640,15301,4013,10375,573,3706,43,50,0,0,0,0
Dec-19,3호선,336,학여울,1,0,519,227,1586,2104,3757,4758,5092,11153,3716,12547,3065,10554,4766,7918,7168,8454,8642,8278,8913,6903,11441,5740,12187,4232,12958,4199,10135,4531,3353,3848,2107,2567,2066,2690,1540,2369,404,1766,63,584,21,13,0,0,0,0
Dec-19,3호선,337,대청,18,1,3822,1226,10120,6956,27659,14850,36971,29253,21629,13909,19045,10137,18120,10377,17533,11726,18703,12950,17121,14031,18881,16449,22413,18088,26434,21555,32169,27479,13986,24766,10123,17774,9038,16502,6497,17957,2551,11447,336,4164,5,71,0,0,0,0
Dec-19,3호선,338,일원,7,0,2057,1510,7928,8490,22380,27629,26116,26361,18892,20722,19042,20590,21335,15820,21298,17371,19365,19290,19969,18478,23429,17045,29151,15302,34367,18182,19278,22110,11324,19263,8752,12395,6071,12632,4000,12790,1595,7316,287,2545,5,56,0,0,0,0
Dec-19,3호선,339,수서,180,1,4838,2448,12577,16302,37152,31736,49905,54979,36668,35084,37719,24985,30561,21606,35800,27453,34587,26898,27124,28368,36751,32278,41915,36174,46755,43611,59614,56960,27761,44097,26789,32299,19200,28979,19276,28908,9873,13180,1236,6561,30,606,0,0,0,0
Dec-19,3호선,340,가락시장,13,1,2787,608,6937,5325,21089,9678,26374,32173,19476,16384,17171,12468,17427,14538,17270,16003,18029,16215,18742,16671,19385,19369,21569,20443,24559,26088,33947,32593,15533,23670,13531,14783,13177,14102,11200,13380,4804,9090,662,2972,13,171,0,7,0,0
Dec-19,3호선,341,경찰병원,5,0,2484,271,6896,3249,23063,7509,29558,31463,18501,15413,14069,10901,13604,8702,11856,10543,12599,11860,12850,11656,13132,11519,13757,12540,17967,17087,22450,23289,9075,19488,7118,12207,6931,11654,5099,11236,1797,8227,234,2248,8,50,0,3,0,0
Dec-19,3호선,342,오금,14,0,3498,4,7446,1953,25796,5645,34669,15667,18517,7023,11756,6433,10673,5327,10203,6288,10585,7548,8611,7852,8797,9641,10388,10915,13284,14195,15107,21295,6727,17519,4572,12008,4161,11690,4200,12263,1255,8666,181,2836,1,45,0,9,0,0
Dec-19,4호선,409,당고개,86,4,8662,15,17442,7574,54703,8806,55747,14256,36596,13979,27952,13734,24856,12537,24680,14698,23936,16043,21711,17305,20407,22615,21823,25596,23057,30134,19915,41358,13350,38828,8812,28150,6933,26332,5370,26289,2595,19875,498,7140,6,814,0,22,0,0
Dec-19,4호선,410,상계,63,3,13645,266,34468,7753,97317,16172,92238,21944,54012,17516,39522,16705,35457,17989,36160,22199,34099,24335,29104,25835,28840,30863,32028,37991,31609,46732,28770,67120,18082,65309,13270,42778,12735,39711,12325,38444,5024,31536,881,9748,19,1309,0,59,0,0
Dec-19,4호선,411,노원,137,0,13229,655,26309,9739,58587,13955,67940,32078,41870,39065,34533,30129,33863,30918,36581,36760,37726,40061,36387,41645,37970,44897,43886,51746,44952,66064,43541,92852,32605,84355,34457,52601,31248,46150,31496,42758,17524,33233,3456,11538,106,733,0,14,0,0
Dec-19,4호선,412,창동,1931,73,16965,3487,36678,12909,104413,20211,95124,46121,64348,40223,51046,36382,50061,35492,52272,41042,51429,48117,47652,52546,50419,58349,56283,65633,58845,74028,58425,103610,32102,95869,25815,63981,24450,57950,21502,55734,10432,41559,1763,15920,32,283,0,0,0,0
Dec-19,4호선,413,쌍문,102,4,23121,1322,52475,10842,136738,15720,153152,33890,97431,25716,68409,23028,58180,26515,58596,32685,52937,35920,46338,40066,45315,48942,49117,60098,50605,76415,46200,107863,30030,111593,22037,72159,18463,65542,14268,67058,7428,47387,1174,16544,41,394,0,1,0,0
Dec-19,4호선,414,수유(강북구청),120,5,20905,4245,44824,12899,124178,22295,149506,60184,95447,45668,67848,37906,62751,41179,66124,45127,63997,49775,60358,55660,60740,65185,65335,76592,71240,93918,77356,136539,47479,129958,36982,84346,33618,76263,28828,75715,16793,52996,2844,14911,37,424,1,2,0,0
Dec-19,4호선,415,미아(서울사이버대학),26,3,10558,1810,20660,5319,54494,16591,64854,40478,41810,23409,30420,20388,31786,22436,30615,21704,32389,22498,29365,24196,28682,28164,30315,32620,32744,38971,33733,50581,20076,46011,14888,29410,12677,27542,10436,25864,4083,18980,695,5002,126,125,0,0,0,0
Dec-19,4호선,416,미아사거리,46,11,14717,2473,36844,9214,102539,21022,121614,37325,75055,39472,52660,33421,49722,38534,51434,41811,53483,44474,51086,47910,55178,58178,59848,66866,59023,81162,58382,115413,42852,100614,40914,60251,27845,56828,22396,55703,11495,35827,1983,9020,53,321,0,0,0,0
Dec-19,4호선,417,길음,15,0,9343,2097,28444,8723,88011,14699,101302,36039,58280,30123,41744,26827,37654,30749,38749,30378,38027,33896,35636,35385,38430,37233,43030,43700,47711,53227,42782,77268,26119,67259,19701,43864,15954,42865,15066,45084,7035,31950,1142,7617,15,232,0,1,0,0
Dec-19,4호선,418,성신여대입구(돈암),58,4,5816,1947,18105,7211,50936,17765,67254,44623,45694,34054,36162,28846,37709,35876,41626,35352,43437,38339,43550,41073,46033,43016,51620,48214,58837,58854,59367,79074,41090,67303,36394,43614,38186,39548,36616,39528,18394,29220,2885,7519,66,340,0,0,0,0
Dec-19,4호선,419,한성대입구(삼선교),64,10,7487,1320,13150,8170,33861,20244,45886,36701,32112,29923,25549,22918,27167,23129,29327,24325,31020,25416,28882,25541,31740,26609,37406,31129,39674,35135,38731,43873,23978,36414,19850,24296,18803,22722,15809,23994,7707,16825,1339,10281,47,1914,0,170,0,0
Dec-19,4호선,420,혜화,27,1,4384,2268,7865,20500,18758,47918,24841,141684,28481,127516,37911,103009,54159,90984,70262,98971,70159,123525,78535,110905,101464,91415,120187,92678,135889,102328,153204,114636,99773,84273,98665,31446,130674,26343,126314,24115,50320,17288,7190,6757,193,380,0,0,0,0
Dec-19,4호선,421,동대문,390,3,9967,2812,4719,13844,6524,37030,9336,84032,14820,82523,21829,69809,31059,64065,40766,57033,48178,60133,60705,55047,71456,48119,79709,39617,105947,34762,92274,29933,49222,33288,35373,23817,32756,16396,31530,11750,17721,9874,2317,2592,88,147,0,3,0,0
Dec-19,4호선,422,동대문역사문화공원,327,11,12188,1661,6198,12963,8868,29390,13349,84732,16169,53140,19411,39057,24235,36145,29101,35873,30498,38651,38793,36671,47877,35480,54700,34075,71779,37057,101422,42346,69847,52539,55075,32453,53572,23030,48457,18113,28825,12301,5565,3871,136,201,1,1,0,0
Dec-19,4호선,423,충무로,76,10,3693,2950,5449,18897,10981,51396,17895,198186,22089,121199,26200,69574,32782,59806,36751,55236,46322,55470,53263,49779,59122,43924,70369,45236,100433,53332,163489,58274,91041,36911,67586,20874,70893,19561,59182,18694,32330,13860,6893,4838,78,419,0,13,0,0
Dec-19,4호선,424,명동,74,2,1576,1329,3983,17551,6583,52668,12987,133428,26699,102877,37990,79119,46355,92727,48782,95636,58335,100750,71046,93429,83033,96754,95076,99717,114666,107214,160508,101737,114840,73765,107069,47758,112992,34166,105653,21675,46414,13607,3911,3938,106,690,0,34,0,0
Dec-19,4호선,425,회현(남대문시장),59,3,2447,1002,4026,22554,6780,56641,11006,172175,16034,114719,23278,90261,36255,96585,46951,79838,62168,70859,77049,67924,86708,59130,98333,44499,137374,36458,137661,30561,66815,18163,69810,10370,32479,11802,19687,10396,8498,6943,1278,2148,49,322,0,19,0,0
Dec-19,4호선,426,서울역,267,3,5071,1045,6482,16808,12944,36356,19054,104035,16808,59813,15902,34618,19056,36052,19826,40043,20426,40147,19802,40173,22604,45575,26235,48987,43704,55691,80426,55758,30567,44280,21344,33457,19443,31052,15851,27018,8084,16006,1092,5888,25,891,0,51,0,0
Dec-19,4호선,427,숙대입구(갈월),10,0,3391,849,8103,9398,19034,23277,31947,64777,23444,39469,21007,28598,24797,26988,25619,23715,28127,26373,29020,24107,30599,24066,39344,26251,43446,32794,61574,43512,31429,30470,26097,19154,26083,19133,23239,18839,12771,12763,2125,3712,302,215,0,0,0,0
Dec-19,4호선,428,삼각지,9,2,624,652,1913,5390,5542,10114,8948,29126,6306,14673,4793,10434,5803,9625,6856,9228,8638,8727,8531,7945,8269,8278,9591,9707,14411,13192,26148,16111,10889,10415,8962,6357,9091,5875,7325,5682,3958,4532,529,1707,4,90,0,31,0,0
Dec-19,4호선,429,신용산,5,0,1257,1595,4144,12998,11217,31997,17258,103292,14920,64505,13915,30657,17724,27201,19407,25897,23406,28553,24517,28071,31120,28497,40022,29152,59299,32370,99020,40478,48494,25435,36221,15437,34556,12392,24860,10704,12507,5960,1737,1667,13,86,0,1,0,0
Dec-19,4호선,430,이촌(국립중앙박물관),71,25,1461,798,4311,6877,13440,14119,21096,30366,14709,36440,12779,29881,26386,15983,27548,16202,18537,21447,16960,18424,20635,17466,26217,17437,30222,19333,29267,24736,12487,17870,9310,11644,9645,10926,7022,10910,2559,6828,356,2422,38,61,0,0,0,0
Dec-19,4호선,431,동작(현충원),34,0,349,158,1307,2113,5102,3299,7200,6266,5233,4665,3844,3263,4813,3135,4012,3439,4075,4255,3848,4381,4474,4560,5196,4818,6368,5399,6868,6685,2942,4985,2351,4349,2308,3366,1581,3132,689,2193,172,1156,6,200,0,11,0,0
Dec-19,4호선,432,총신대입구(이수),151,9,6772,1131,17034,11640,47930,18123,70542,46123,45894,39688,34562,30839,36372,31964,36943,35679,38617,39095,38500,40098,39410,45921,41468,53779,45291,65088,51296,91972,31717,65326,29471,37639,29179,35954,25701,32835,14399,21414,2248,6256,33,564,0,0,0,0
Dec-19,4호선,433,사당,125,2,10987,1130,24575,16660,72981,24763,97326,40764,73048,33963,53362,29130,47205,39855,48444,41951,50322,35476,48983,35370,47803,42368,48798,57021,57357,79054,61501,118232,44188,82315,40300,44664,46798,42560,45202,41475,25367,29689,3416,10210,30,1554,0,62,0,0
Dec-19,4호선,434,남태령,60,0,501,140,1082,1297,2864,4631,5053,6253,3708,2246,3034,1475,2834,1156,2664,1486,2615,1474,2403,1588,2999,1712,4071,1775,4895,1999,4623,2163,1854,2235,1072,1585,768,1455,428,1281,214,766,43,331,0,11,0,0,0,0
Dec-19,경부선,1001,서울역,3,1,69,340,108,2278,8481,3359,20818,4359,16560,3562,16018,2369,19600,1977,16150,2483,14242,2462,7474,2632,20842,2889,16484,3912,17796,4853,18594,6400,18437,4358,14343,2768,11526,2681,11459,1885,5859,559,887,33,1,9,0,0,0,0
Dec-19,경부선,1002,남영,60,1,2829,1388,4800,8570,12094,21757,19854,64217,12747,39147,12406,19294,14606,15437,15154,14669,16461,15925,17586,14239,20211,14797,24514,16405,28908,20322,52873,26666,21568,18372,17267,12527,17046,11943,14939,11306,7750,7502,505,1793,0,2,0,0,0,0
Dec-19,경부선,1003,용산,280,10,5129,5546,6194,38513,22519,77051,33721,163961,43208,119818,40716,90532,55652,85479,58728,86223,71504,88350,70507,86640,104841,90755,113616,88821,138925,90895,175058,106013,113643,68075,112372,47316,109696,37565,73701,24794,30594,9066,1785,3303,0,3,0,0,0,0
Dec-19,경부선,1004,노량진,334,4,5380,1852,6877,6844,19352,14737,29736,25064,18386,17026,14861,12971,15703,15789,18067,18865,21186,19077,20645,16502,21253,18144,23504,22409,26791,29573,30027,45116,19678,28994,20126,17725,25178,17217,29478,15811,12232,10762,650,2587,0,33,0,0,0,0
Dec-19,경부선,1005,대방,469,2,6240,2760,11136,12165,32086,35371,46144,56109,28206,29498,21602,18063,20621,16201,23229,17647,25578,19704,23384,18352,24246,20007,26541,24283,36880,31174,50425,43778,21145,30643,16756,22592,17501,22697,15453,21102,4544,14421,189,3717,2,58,0,0,0,0
Dec-19,경부선,1006,영등포,3290,25,20759,6917,18397,27555,42347,62661,65242,139897,47283,107881,47058,90320,53502,111751,65950,119572,73406,128626,88881,118378,114406,117360,137766,120947,156617,132004,197087,170414,129596,112873,134777,58298,119859,47754,103214,40678,47668,23186,1605,6461,7,132,0,0,0,0
Dec-19,경부선,1007,신도림,343,0,2345,614,3187,2173,10082,6695,13476,16190,7278,7049,5075,5187,5119,4913,5585,5449,5785,5828,5753,5615,6082,6242,6889,7342,9222,9512,14866,13992,6466,9579,5286,5642,5597,5285,3930,5133,1601,3500,92,1894,0,5,0,0,0,0
Dec-19,경부선,1032,신길,521,11,11725,1994,11211,5615,24875,15534,35868,31102,22339,12088,14969,8099,13796,7964,15086,8496,13953,9409,12129,9736,13526,11488,17138,13780,20999,18521,33202,24765,13597,19083,8925,13314,9198,14909,6875,14284,3046,9480,240,2856,16,192,0,0,0,0
Dec-19,경부선,1701,구로,10872,42,26394,4332,21538,12383,40735,31381,44107,85342,30435,45164,25959,29165,26724,27008,28428,25575,28741,28160,28555,26292,31168,29058,36049,33115,53026,45578,74533,51227,32948,37323,22267,24498,21294,26583,17989,24016,7935,18538,113,17973,1,857,0,0,0,0
Dec-19,경부선,1702,가산디지털단지,1281,6,9740,2145,8313,12396,14973,46124,16042,162476,12736,81033,11741,25203,13044,20573,14792,19423,17109,20720,17998,18940,20166,20450,26815,21422,60318,27307,119854,32716,49837,24085,31262,14177,27985,14384,19089,13138,9108,8552,264,1218,0,0,0,0,0,0
Dec-19,경부선,1703,금천구청,373,4,10675,1520,19582,6390,49687,15138,49600,32200,30282,12589,22578,10787,20686,12482,20474,14704,19404,15726,17375,17982,18106,20428,19752,25653,22364,30598,30085,44294,13594,37769,9753,22496,9117,22089,6631,19588,2446,14707,74,1031,0,0,0,0,0,0
Dec-19,경부선,1704,석수,226,2,7912,2736,17910,6969,44309,14359,47148,20043,27656,12551,19944,11045,18253,9474,18586,10170,16712,11193,15969,12492,17006,14570,19330,19228,24205,24116,25122,37147,13711,32025,9513,20877,7894,22282,5913,20069,2508,14123,64,1081,0,0,0,0,0,0
Dec-19,경부선,1705,관악,150,0,6853,1889,13489,4472,35440,6204,35663,11458,19477,12107,14142,12992,13120,10567,15818,10498,15230,9802,13634,10023,12949,12110,14881,15573,16979,18574,13541,30250,7961,25020,5810,15686,5899,16590,3831,15333,1494,11623,81,1220,0,0,0,0,0,0
Dec-19,경부선,1706,안양,239,14,15068,3641,32162,12462,86983,18501,83150,44228,48860,46563,38658,36301,38766,39384,44215,41048,43292,45885,43689,43644,50567,46048,57721,53296,59984,62486,49165,98694,34762,80918,32489,45083,35876,42792,32396,39747,15855,27565,490,4466,0,0,0,0,0,0
Dec-19,경부선,1707,명학,105,3,6681,2421,10327,9471,27880,23179,25985,61446,14627,16588,12207,12289,11861,13118,13251,10621,13483,11281,13413,12192,14111,10473,19506,13010,29196,15892,41164,23077,15188,19874,12371,12282,10835,12153,6805,11377,3168,9042,132,1318,0,0,0,0,0,0
Dec-19,경부선,1708,금정,214,2,24096,6983,33576,23143,86123,40705,90314,89012,57393,31987,43351,23949,39064,26140,39728,26574,38684,29509,34093,33405,36259,39432,44034,48690,62952,64359,78303,93038,36654,75758,30027,49960,28867,51138,23999,47755,11595,35410,1324,14447,7,721,0,0,0,0
Dec-19,경부선,1709,군포,63,1,5599,2529,9003,7209,20357,26746,19340,51110,12166,9858,10032,6269,9295,6032,10068,6353,9291,6676,8270,7233,8777,8470,11066,10343,23087,13342,36976,16178,13735,14774,11100,9119,8516,8731,4601,7460,1824,5159,111,1060,0,0,0,0,0,0
Dec-19,경부선,1710,의왕,25,1,6636,2460,12236,8752,30370,25954,33228,31309,17752,11305,14082,7790,13638,7535,14227,8741,13230,10257,12477,10916,13438,12553,17229,16297,29240,19761,25877,26998,12927,24057,9575,16474,8345,16158,5334,14207,2492,10488,189,2494,0,0,0,0,0,0
Dec-19,경부선,1711,성균관대,74,3,8406,1896,26068,6016,67071,10297,59079,26347,30774,17517,25458,15486,24032,15430,24210,15537,23571,19135,21970,20875,23616,22812,27945,28187,29882,38146,29192,57479,18388,54181,14683,35812,13911,32127,12800,31153,6392,21927,399,5371,1,0,0,0,0,0
Dec-19,경부선,1712,화서,344,3,7622,1667,19148,5318,41273,5891,34093,12853,18355,7508,15192,6673,13656,7577,12689,8599,12305,9381,10727,10313,11435,12828,13283,15779,14536,22632,12259,32490,7542,30168,5998,18926,5538,16585,4391,16100,1640,10256,120,3278,0,0,0,0,0,0
Dec-19,경부선,1713,수원,1893,58,22985,6251,37764,32322,75752,58550,82108,87782,60768,79120,58048,74475,61823,83747,65942,93550,70547,94472,74566,90226,90977,97390,110549,107825,119019,121808,118454,138927,101484,125499,100913,70179,80848,60579,73582,51218,31963,33307,1143,11347,1,1,0,0,0,0
Dec-19,경부선,1714,독산,596,10,7307,2369,17075,12006,42919,36129,43258,102599,25603,45729,20960,18897,20868,14963,22550,15752,21811,16642,20101,17898,21742,20228,27768,24273,50462,30200,77062,42650,34260,39556,19287,24039,15680,24634,10479,23218,3950,14993,162,913,0,0,0,0,0,0
Dec-19,경부선,1715,세류,370,0,3373,715,7725,2895,16017,4962,12113,5544,7586,4128,7312,4059,6176,4233,5881,4481,5696,4478,5302,5076,5785,5907,6760,7388,8752,9115,7966,12851,4903,11547,4004,9117,3626,7189,2435,6230,762,4311,25,1508,0,0,0,0,0,0
Dec-19,경부선,1716,병점,2855,25,7574,4069,24821,11839,51208,20636,44328,29486,32790,21600,28549,17540,28524,15895,28703,20412,26419,19568,26654,22124,29527,25043,32512,31784,39057,38600,41000,48831,23169,48209,16759,36275,15020,33188,11252,30258,3709,20138,67,11689,0,0,0,0,0,0
Dec-19,경부선,1717,세마,228,2,2034,490,5305,1589,9745,4318,9968,7082,7953,2499,5958,2304,5420,2738,5695,2841,5776,3358,4838,3850,4806,4325,5915,5524,7310,7747,7073,9385,3348,7600,2284,7248,2160,5930,1261,4796,547,3977,47,232,0,0,0,0,0,0
Dec-19,경부선,1718,오산대,78,2,2545,620,4294,2260,10934,4154,9080,7355,6816,6040,5959,4414,5064,3773,5784,3978,5561,4470,5349,4405,5948,4980,7225,5924,8318,8571,8567,9819,3973,8091,3328,6581,3198,5112,2105,4053,1019,3823,42,185,0,0,0,0,0,0
Dec-19,경부선,1719,오산,254,3,6544,1542,12553,8774,22735,18774,23371,22514,19321,13867,19916,11627,19312,11744,19846,12960,19416,15171,18579,15638,19593,18471,21382,23065,27553,25942,30177,27739,15209,30141,14486,18706,10907,17390,6680,15391,3606,10142,197,626,0,0,0,0,0,0
Dec-19,경부선,1720,진위,4,0,680,185,1575,2373,3615,6801,2939,8449,2688,1754,2257,1172,2108,1196,2346,1316,2410,1708,2192,1489,2719,1856,3683,2446,6573,2772,9325,2931,3098,2618,1958,2156,1307,1982,649,1631,285,1143,14,67,0,0,0,0,0,0
Dec-19,경부선,1721,송탄,63,1,6171,817,7755,3663,12034,6000,11885,9221,10924,4720,9561,3948,9775,5056,10167,6207,9640,7338,8729,7466,8810,9112,10517,11020,11041,13149,11507,14885,6911,12601,5214,13155,4280,10390,2512,7915,1335,8007,60,840,0,0,0,0,0,0
Dec-19,경부선,1722,서정리,14,0,3034,7076,7194,6129,11049,9626,13021,12907,9439,6130,11110,6049,9599,6589,10760,7347,10656,8132,9758,7886,11114,10367,12766,11745,20611,12716,15457,13525,9898,14219,7033,10827,5383,10093,3015,8974,1421,6656,23,1517,0,0,0,0,0,0
Dec-19,경부선,1723,지제,7,0,947,2798,2678,5476,6979,8209,5430,6775,4473,3503,3564,2370,3379,2937,4592,3373,3932,3316,3840,2791,5521,4437,6543,4938,11498,4878,9221,7439,5785,5862,3594,4771,4067,4020,2663,3102,1046,2056,3,474,0,0,0,0,0,0
Dec-19,경부선,1724,평택,39,0,8195,2753,14041,8726,27750,15791,29558,22765,24835,19633,27597,21849,22613,22588,24084,24532,25577,26710,25092,25533,29081,30350,32075,31358,35971,39610,33151,40673,23735,31014,24674,23409,17550,21089,14003,16582,6870,10799,356,1736,0,0,0,0,0,0
Dec-19,경부선,1725,성환,8,0,2029,684,3022,2562,6066,9434,8333,13172,6787,9868,8156,8258,8062,6232,8734,7545,9609,6825,10384,6184,11225,6341,11340,8281,13249,8383,12284,8532,5762,8079,4793,6287,3444,6074,1820,4993,1062,4210,86,848,0,0,0,0,0,0
Dec-19,경부선,1726,직산,22,3,745,190,1369,797,1982,2733,1630,2978,1972,1786,1557,1166,1564,1184,1515,1270,1480,1312,1539,1304,1950,1404,1604,1969,2344,2058,3275,2402,1245,1861,895,1374,1090,1270,418,993,226,774,24,351,0,0,0,0,0,0
Dec-19,경부선,1727,두정,1178,2,4315,940,7856,2883,12990,7580,11688,14366,9668,17253,9673,13007,9694,11898,11018,10933,8704,8326,11517,10780,11614,9086,13913,11471,14162,13321,17282,16676,10389,12914,7470,11327,6703,10483,5123,8457,2284,6706,293,2774,0,0,0,0,0,0
Dec-19,경부선,1728,천안,2255,4,2891,790,5273,2807,9410,6777,10233,10335,12827,12811,12285,13048,13545,15789,13424,14523,12582,12441,19105,16340,19184,13679,22357,16081,18222,16450,16466,17080,11345,12593,9366,9617,7677,7068,5348,6591,2750,4039,697,2449,1,5,0,0,0,0
Dec-19,경부선,1729,당정,4,0,3610,1089,9817,3478,27816,9623,24590,19660,15166,10640,11978,7430,11366,6471,11863,8605,11322,8050,10230,8250,11249,9741,13180,12065,16209,15149,18357,20450,8473,19924,6884,14171,5856,14381,4621,13279,2014,10225,122,2020,0,0,0,0,0,0
Dec-19,경부선,1749,서동탄,1,0,1547,1,4756,649,12207,1532,6083,2263,3652,831,3066,969,3092,1479,2827,1768,2695,1831,2456,2254,2716,2473,3191,3560,3232,4319,3033,6043,1625,6478,1051,3861,992,3031,550,2549,146,3179,4,1432,0,0,0,0,0,0
Dec-19,경부선,1750,광명,0,0,22,2648,2243,2599,15548,3674,6570,3944,8089,4157,4144,3379,4434,3089,5153,3861,4402,505,4162,7029,5195,660,12405,7156,4323,5369,14908,13338,5267,11798,4817,3966,3256,267,2333,3628,20,10,1,1,0,0,0,0,0,0
Dec-19,경인선,1801,개봉,1255,5,18767,5685,36709,12975,97906,17281,97565,27825,63032,22458,46740,20413,41424,23196,41984,29723,41113,28005,35757,34616,35687,41471,39183,52665,41322,70004,39445,96431,23111,79851,18195,53296,16892,51450,13279,47135,5741,31090,197,3787,0,0,0,0,0,0
Dec-19,경인선,1802,오류동,409,5,11785,2254,18268,6066,54928,7517,54086,13424,32623,11844,24218,12923,22184,11339,24784,15025,22732,17372,18756,17515,20384,21378,22215,25198,21528,29354,19681,44779,11429,43504,9846,26981,8385,25428,6395,23523,2837,18063,147,3076,0,0,0,0,0,0
Dec-19,경인선,1803,역곡,600,17,26875,3657,46568,13015,133126,14761,135300,34822,77179,35397,54515,25811,49056,29968,50092,34583,47998,39700,43105,40186,42874,48275,49404,60684,53046,78786,46207,120535,30410,110406,24783,68143,22785,64638,20513,62025,10526,42884,781,8010,0,0,0,0,0,0
Dec-19,경인선,1804,부천,2142,6,36198,5082,46393,15476,115889,21956,123281,56250,75691,53272,59926,46961,58823,51560,63823,62490,65192,68819,64493,67756,69676,73084,76762,83039,79887,105469,77162,146347,56148,131480,47166,75594,48462,69189,44221,59880,22377,46249,1901,9263,0,0,0,0,0,0
Dec-19,경인선,1805,송내,1405,22,16734,8832,39754,18691,125236,34722,108672,92591,64004,51166,48165,29388,47139,28335,50322,32027,45393,33585,41424,38017,43838,42404,52173,53252,61011,70107,89799,104828,41059,97339,30949,62645,27450,55179,23209,57135,11422,38515,1824,8451,0,0,0,0,0,0
Dec-19,경인선,1806,부평,6698,32,26186,5600,40057,12857,96984,21299,94506,37564,56516,46628,49684,42705,50345,51586,56078,63880,56416,73473,58476,75209,64102,80312,74115,93145,80898,109797,75719,155814,58592,134113,55282,77416,58667,65902,55579,54978,31111,40772,5878,12396,0,1,0,0,0,0
Dec-19,경인선,1807,백운,105,1,7827,1772,15127,3595,33334,5913,32656,14618,20871,10221,17628,7690,15927,9024,15491,10587,14396,11347,13138,12091,13495,13870,13659,17390,14789,22521,13626,27968,7056,27033,5874,17615,6435,16610,4470,15490,2471,12152,328,3454,0,0,0,0,0,0
Dec-19,경인선,1808,동암,524,12,20924,5324,31910,11471,62597,15804,64197,21038,41079,17006,32932,17628,30388,19000,31742,21369,30747,22112,27440,24687,26899,30263,29430,35680,32865,50709,30733,63994,19728,57037,15299,40479,14756,37007,11735,34457,5973,26275,573,6993,0,0,0,0,0,0
Dec-19,경인선,1809,주안,864,35,14812,3992,27434,10913,71483,21749,67027,37551,42194,29897,34985,24723,37234,23939,43422,30219,40892,26830,36942,30436,40511,32760,44745,37422,50257,51614,50914,67840,32287,68587,28652,42704,26559,38268,22680,37103,12198,28440,1376,8994,0,0,0,0,0,0
