사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Dec-19,2호선,208,왕십리(성동구청),905,5,8006,1083,11350,6748,27855,12628,55492,31345,36451,23432,25500,18046,26430,20442,29467,22856,32236,24559,32350,24695,32922,27863,40945,32633,47201,43783,50286,69250,33560,48410,32675,29128,38640,26507,36974,26762,24577,19110,4190,8455,111,735,3,21,0,0
Dec-19,2호선,209,한양대,4,0,1417,452,2485,7128,5780,13555,10187,53182,8028,55431,9489,43866,13876,21303,17060,31588,18673,28298,23109,22354,29208,16020,37961,13615,44785,15256,36020,19752,19201,11595,16894,7130,19067,6785,14368,6992,9085,4993,2133,1940,16,141,1,6,0,0
Dec-19,2호선,210,뚝섬,23,0,4188,2006,8653,14732,21745,29071,34944,127900,22186,71312,17702,32035,18945,26245,22968,28096,26968,29845,29296,28375,33158,29752,40818,30964,54782,35627,110376,45298,54513,30599,32103,17155,29620,16898,21794,16567,9195,11448,1543,4527,40,282,2,11,0,0
Dec-19,2호선,211,성수,26,3,5801,4204,10486,28266,25301,65788,35923,267015,28748,111552,25631,46192,26617,37931,31174,38058,37067,42797,40739,42133,46646,42646,56613,42979,97351,47578,206061,57230,87752,39648,51285,23258,50555,20690,39446,19631,17515,14608,2758,8995,41,1490,0,111,0,0
Dec-19,2호선,212,건대입구,369,11,21395,2460,24947,18843,58861,27136,108600,72873,74611,55883,47311,53762,47108,63382,55028,75615,62282,82500,67285,83607,72484,89698,83738,105714,98997,136021,107670,203564,85075,155443,86656,90722,103090,82039,109763,76887,71600,49881,12688,17483,245,2093,0,95,0,0
Dec-19,2호선,213,구의(광진구청),20,0,13571,1622,26163,10572,67246,15264,123874,40985,74818,28103,42339,23179,37165,24285,37605,26541,38559,29913,35978,32563,34559,39411,37737,46543,43628,60892,49468,92682,28218,74650,22449,50020,21763,49851,18912,50870,11703,32702,2035,10828,51,620,0,18,0,0
Dec-19,2호선,214,강변(동서울터미널),29,2,9465,3508,28233,29113,88191,32458,140094,57161,112985,56932,94929,56295,90158,57548,85702,64273,82842,73453,77714,82684,79720,94880,84532,105651,89510,114774,95947,151357,75128,117138,61824,84569,50528,74475,35421,68142,13996,41990,2515,10493,52,518,0,30,0,0
Dec-19,2호선,215,잠실나루,7,0,3086,1632,11203,10019,38453,21911,55475,40081,35438,32195,28941,24532,29974,22760,29081,26814,27594,27308,29929,26165,30968,26623,35478,26504,41603,30218,37093,42259,19974,34473,15640,22628,11789,22138,7999,21935,3888,14814,722,4892,17,294,2,19,0,0
Dec-19,2호선,216,잠실(송파구청),134,5,13839,6221,48147,36155,121267,85129,184148,207206,139050,211981,102609,140763,105926,153788,117085,151505,135192,155960,148161,155469,173151,166478,197029,181933,245169,202599,301558,266029,213356,192090,201268,116902,181937,113294,147193,111042,52410,70673,14594,16458,493,1279,7,99,0,0
Dec-19,2호선,217,잠실새내,40,1,5717,945,16562,8018,56656,16277,91140,29526,57389,35042,39279,27936,38985,30937,40047,35587,40526,41003,37977,43448,39835,48491,45408,55208,49302,71966,51850,101536,37402,77957,33110,47208,35376,42812,35049,41504,22004,25464,3961,8893,82,567,11,46,0,0
Dec-19,2호선,218,종합운동장,17,2,1908,1504,6469,7727,17167,16504,28524,30645,21346,19673,15357,15136,17420,13112,16035,15769,15681,19852,20084,20100,21145,21275,21962,28004,23145,31248,24403,39209,15507,27728,15491,14548,19487,15099,17855,15675,7452,9765,680,3228,135,298,2,12,0,0
Dec-19,2호선,219,삼성(무역센터),151,1,5540,5516,8759,43629,17693,122087,26966,339090,27589,285643,32310,157167,48066,138665,66049,127351,89976,139114,111918,129743,144112,113918,171314,110030,245668,109676,345373,112634,229330,68252,173527,31163,156487,25067,116412,21422,37274,14387,12704,6730,961,1592,12,42,0,0
Dec-19,2호선,220,선릉,133,4,6012,6686,11985,43248,22016,106694,37819,306176,38381,238123,42447,111490,57618,77778,68085,67989,81493,79403,90614,68610,112164,60738,148520,61659,190301,69864,299981,78592,150943,50876,103161,30320,105006,25737,95722,23094,40491,14951,7461,7731,153,602,2,33,0,0
Dec-19,2호선,221,역삼,38,1,4472,8432,9002,38239,16299,122844,29665,347487,28538,284885,29853,120644,41662,80496,52075,68957,63644,80095,72409,69648,91989,61094,112662,58407,193188,70994,284311,84225,145323,55560,92253,29744,95816,24568,80683,21596,33328,14970,6562,5266,39,412,10,22,0,0
Dec-19,2호선,222,강남,334,10,18905,13476,25972,54937,45036,141242,73378,339904,65749,368960,68164,194423,93171,167654,119304,165244,150459,194760,161176,178089,196265,167430,225538,181298,290337,224839,386600,300848,260124,218492,217886,102526,267218,79327,281356,69835,147841,44939,29427,14091,386,1171,18,69,0,0
Dec-19,2호선,223,교대(법원.검찰청),18,0,2861,8017,13733,26397,27968,48966,44743,155741,36464,154954,34623,82466,43693,77580,46200,71691,59028,74006,69719,69812,74178,65498,76917,67754,108821,88956,156950,108373,80505,65852,67434,35546,74537,32643,63530,31312,30034,18956,6983,6115,116,275,6,26,0,0
Dec-19,2호선,224,서초,12,1,1355,5256,7179,21471,15146,48036,25947,125805,29410,112353,23685,50404,36883,47664,34038,35540,47528,38532,45745,35776,49502,28059,56932,31468,79045,37793,111137,38791,55450,26149,38381,13395,45173,12873,29273,12895,10143,7856,2696,2489,20,82,1,11,0,0
Dec-19,2호선,225,방배,19,0,3164,4226,10182,13466,23673,27109,38640,78709,32788,61350,24819,40809,27339,31745,29526,32361,34439,31928,35968,31339,40686,30109,45213,32099,56933,40724,77517,46477,35790,37233,28270,23602,29627,23302,24682,24154,11579,15319,2678,4829,44,183,5,25,0,0
Dec-19,2호선,226,사당,364,2,14034,3964,23916,31582,76055,45607,107797,75582,81872,63505,57552,52123,55175,70773,63601,72176,71580,64952,78557,66042,79400,80606,82140,106037,92598,145448,110267,205034,84433,154644,81763,83948,96099,82271,101743,81939,61790,56123,11078,18717,210,2138,15,89,0,0
Dec-19,2호선,227,낙성대,55,1,12110,2289,26339,10972,84091,20532,135834,43131,90015,39984,51648,34278,44993,30742,48144,34887,49717,38052,45487,39765,49011,44264,51434,49727,58010,65361,61366,96675,36717,95789,28133,62652,26867,61588,22980,66075,12907,45610,2228,15202,69,806,3,100,0,0
Dec-19,2호선,228,서울대입구(관악구청),4491,21,29915,3403,43952,16982,133271,30851,197809,69474,133574,73930,82933,60878,76314,58030,83941,66036,87119,74079,81319,74558,86150,83628,95885,92791,105724,121234,114529,177575,72417,169473,59877,101621,61198,98939,58079,104236,31274,71850,5734,28883,86,4361,1,399,0,0
Dec-19,2호선,229,봉천,115,1,16169,1984,29344,9059,86521,13197,130149,28766,81918,25944,47874,23325,39967,25863,43431,28524,43180,31021,37037,33610,37080,42443,39880,46793,41154,59173,40774,84854,25010,79021,19417,50272,17711,50905,13992,50718,6463,34476,1283,11359,36,712,4,43,0,0
Dec-19,2호선,230,신림,372,14,42716,5653,80989,24065,223764,37721,342350,67926,212856,62447,121966,56114,104819,66080,111077,71606,107564,81618,99097,89717,98382,108996,107451,126533,116579,166718,118845,263625,80791,261588,67126,164034,64429,161787,61146,160600,35199,117529,6919,38574,160,2242,10,119,0,0
Dec-19,2호선,231,신대방,135,1,24976,2725,38068,10850,96060,18540,142828,37855,93593,27857,56424,23786,46757,24633,46446,26024,44974,31504,39083,34451,38065,45997,41640,52091,45375,68135,51918,95904,29646,90164,22269,61421,18054,68685,14218,73312,7366,46568,1294,13039,55,677,9,57,0,0
Dec-19,2호선,232,구로디지털단지,223,5,42238,6942,55683,24106,147572,70728,205184,263434,136117,170201,86708,71591,78298,60910,84998,61163,87226,76018,80886,78043,85040,86040,103915,96989,142902,132666,247851,186259,130861,161370,85092,103861,73804,109596,62431,115227,31582,75715,5507,20678,80,1274,5,114,0,0
Dec-19,2호선,233,대림(구로구청),562,14,37279,3958,33999,13100,74245,22211,109192,62294,82050,42571,50673,41106,42506,46855,44894,42057,45635,43089,42497,43794,44362,51552,50376,56910,58116,79848,68894,86270,38330,67325,28386,49010,23602,62945,17420,66963,9644,38080,1468,9701,82,765,2,81,0,0
Dec-19,2호선,234,신도림,3224,22,38731,6219,52401,21489,144266,42738,159857,129969,104514,88989,77365,87583,78395,87517,89850,93123,97786,98354,97728,93873,105068,101479,116327,115276,138124,139784,165201,202054,102790,162200,89937,94501,99322,91724,76542,95131,32896,73953,4155,36873,152,4836,0,60,0,0
Dec-19,2호선,235,문래,11,1,3803,1969,11424,11243,43843,31366,48999,123232,30283,62637,24940,26973,24783,25779,27238,27216,29822,27827,29223,26964,31726,27616,36631,30636,58121,36953,102092,55856,41188,42540,29334,24463,29177,22990,24591,22351,11658,15748,1946,5437,46,327,1,3,0,0
